frame_idx,timestamp_ms,x1,y1,x2,y2,label,class_name_raw,class_id,det_conf
24,800,87,439,217,546,Vehicle,car,2,0.8158766627311707
24,800,933,408,1006,487,Vehicle,car,2,0.7661851048469543
24,800,304,309,385,382,Vehicle,car,2,0.7513707876205444
24,800,422,259,488,329,Vehicle,car,2,0.6879074573516846
24,800,331,390,417,488,Vehicle,car,2,0.6561076641082764
24,800,374,230,429,279,Vehicle,car,2,0.6341267824172974
24,800,505,189,546,225,Vehicle,car,2,0.6044814586639404
24,800,311,621,442,720,Vehicle,car,2,0.5932899713516235
24,800,1023,559,1096,649,Vehicle,car,2,0.5893025398254395
24,800,623,318,645,364,Human,person,0,0.45599013566970825
24,800,874,364,911,399,Vehicle,car,2,0.43179190158843994
24,800,484,142,525,165,Vehicle,car,2,0.3913649320602417
25,833,376,348,543,603,Vehicle,bus,5,0.950313150882721
25,833,80,442,212,553,Vehicle,car,2,0.8090159296989441
25,833,931,407,1005,487,Vehicle,car,2,0.7643652558326721
25,833,303,312,383,385,Vehicle,car,2,0.7481714487075806
25,833,310,627,439,720,Vehicle,car,2,0.6717694401741028
25,833,326,395,414,494,Vehicle,car,2,0.6621229648590088
25,833,420,259,486,331,Vehicle,car,2,0.623765230178833
25,833,375,231,428,280,Vehicle,car,2,0.6200488805770874
25,833,1023,559,1097,648,Vehicle,car,2,0.5560249090194702
25,833,506,189,546,227,Vehicle,car,2,0.4308842420578003
25,833,481,142,525,166,Vehicle,car,2,0.4294779896736145
25,833,874,364,911,399,Vehicle,car,2,0.387848824262619
26,867,372,349,542,610,Vehicle,bus,5,0.9055013656616211
26,867,74,444,209,560,Vehicle,car,2,0.8340221643447876
26,867,932,407,1005,488,Vehicle,car,2,0.7572318911552429
26,867,300,314,383,386,Vehicle,car,2,0.7083282470703125
26,867,374,233,428,281,Vehicle,car,2,0.6501662731170654
26,867,416,259,484,333,Vehicle,car,2,0.6417932510375977
26,867,322,399,412,498,Vehicle,car,2,0.5979250073432922
26,867,1021,560,1097,651,Vehicle,car,2,0.528753936290741
26,867,310,635,437,720,Vehicle,car,2,0.5265480875968933
26,867,506,191,544,227,Vehicle,car,2,0.4921568036079407
26,867,819,371,838,409,Human,person,0,0.4097229838371277
26,867,874,364,912,399,Vehicle,car,2,0.39823001623153687
26,867,481,143,523,166,Vehicle,car,2,0.389143168926239
27,900,368,352,542,616,Vehicle,bus,5,0.9107720851898193
27,900,932,407,1005,488,Vehicle,car,2,0.7132792472839355
27,900,297,316,379,390,Vehicle,car,2,0.6882222294807434
27,900,71,448,206,565,Vehicle,car,2,0.6847041249275208
27,900,371,234,428,283,Vehicle,car,2,0.5967012643814087
27,900,412,264,483,335,Vehicle,car,2,0.558254063129425
27,900,318,403,407,504,Vehicle,car,2,0.552182674407959
27,900,1022,562,1098,652,Vehicle,car,2,0.5371718406677246
27,900,820,372,839,411,Human,person,0,0.44984930753707886
27,900,507,191,544,228,Vehicle,car,2,0.44022083282470703
27,900,1040,260,1279,573,Vehicle,bus,5,0.4189901351928711
27,900,875,365,912,400,Vehicle,car,2,0.4186088442802429
27,900,717,346,732,378,Human,person,0,0.3840446174144745
28,933,367,354,541,622,Vehicle,bus,5,0.9226940274238586
28,933,63,453,202,572,Vehicle,car,2,0.7884847521781921
28,933,932,407,1005,487,Vehicle,car,2,0.6859991550445557
28,933,294,317,377,392,Vehicle,car,2,0.6819689273834229
28,933,364,235,427,285,Vehicle,car,2,0.5468084216117859
28,933,1023,562,1097,652,Vehicle,car,2,0.5417472124099731
28,933,299,650,433,720,Vehicle,car,2,0.5045530796051025
28,933,315,405,400,506,Vehicle,car,2,0.49954754114151
28,933,509,192,544,228,Vehicle,car,2,0.45785415172576904
28,933,414,270,482,337,Vehicle,car,2,0.44021838903427124
28,933,876,364,912,400,Vehicle,car,2,0.43503475189208984
28,933,620,331,644,385,Human,person,0,0.43272799253463745
28,933,1040,257,1279,572,Vehicle,bus,5,0.42882004380226135
28,933,821,373,841,414,Human,person,0,0.4233979284763336
28,933,717,345,732,379,Human,person,0,0.41563621163368225
29,967,362,355,541,629,Vehicle,bus,5,0.9181239008903503
29,967,56,457,196,578,Vehicle,car,2,0.7894994020462036
29,967,298,658,429,720,Vehicle,car,2,0.7845287919044495
29,967,293,319,375,397,Vehicle,car,2,0.7231178283691406
29,967,366,236,427,286,Vehicle,car,2,0.6858580112457275
29,967,932,407,1005,487,Vehicle,car,2,0.6625484228134155
29,967,310,413,401,515,Vehicle,car,2,0.6450416445732117
29,967,1023,561,1098,653,Vehicle,car,2,0.6084045767784119
29,967,619,333,643,386,Human,person,0,0.5626150369644165
29,967,417,358,461,407,Vehicle,car,2,0.5125647187232971
29,967,505,193,545,231,Vehicle,car,2,0.4917135238647461
29,967,1040,257,1279,573,Vehicle,bus,5,0.48905569314956665
29,967,825,374,842,415,Human,person,0,0.47821274399757385
29,967,876,364,912,399,Vehicle,car,2,0.45842158794403076
29,967,411,273,480,339,Vehicle,car,2,0.45436036586761475
29,967,717,345,732,379,Human,person,0,0.4352762997150421
29,967,484,143,523,167,Vehicle,car,2,0.40778034925460815
30,1000,359,359,540,634,Vehicle,bus,5,0.9238731265068054
30,1000,53,461,192,582,Vehicle,car,2,0.7813664674758911
30,1000,298,666,425,720,Vehicle,car,2,0.7755087018013
30,1000,289,322,373,400,Vehicle,car,2,0.7215626835823059
30,1000,304,415,400,520,Vehicle,car,2,0.6590202450752258
30,1000,932,407,1005,487,Vehicle,car,2,0.6544994711875916
30,1000,1024,562,1100,653,Vehicle,car,2,0.6115140318870544
30,1000,365,238,425,287,Vehicle,car,2,0.6014389991760254
30,1000,1041,256,1279,569,Vehicle,bus,5,0.5411815047264099
30,1000,506,193,544,231,Vehicle,car,2,0.515235960483551
30,1000,415,360,459,410,Vehicle,car,2,0.470550000667572
30,1000,825,376,842,417,Human,person,0,0.4575073719024658
30,1000,876,364,911,399,Vehicle,car,2,0.45699334144592285
30,1000,410,273,479,342,Vehicle,car,2,0.4557596743106842
30,1000,717,345,732,378,Human,person,0,0.4183460474014282
30,1000,618,336,642,390,Human,person,0,0.38563600182533264
31,1033,354,361,539,643,Vehicle,bus,5,0.921408474445343
31,1033,44,465,189,588,Vehicle,car,2,0.8162249326705933
31,1033,285,324,372,403,Vehicle,car,2,0.7935611605644226
